Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
24658289,A Mathematician's Lament,Paul  Lockhart,"Lockhart, Paul",,"=""""","=""""",5,,,25,,2009,,2023/05/14,,,read,,,,1,0
20014648,Discrete Mathematics Using a Computer,John O'Donnell,"O'Donnell, John","Cordelia Hall, Rex Page","=""1846285984""","=""9781846285981""",0,Springer,Kindle Edition,460,2007,2006,,2023/08/20,currently-reading,currently-reading (#3),currently-reading,,,,1,0
133591361,Adventures of a Mathematician by S. M. Ulam(1991-07-23),Stanislaw M. Ulam,"Ulam, Stanislaw M.",,"=""""","=""""",0,University of California Press,Paperback,0,,1976,,2023/08/27,currently-reading,currently-reading (#2),currently-reading,,,,1,0
28916516,Windows 10 Troubleshooting (Windows Troubleshooting Series),Mike Halsey,"Halsey, Mike",,"=""1484209265""","=""9781484209264""",4,Apress,Paperback,522,2016,,2023/09/10,2020/09/17,,,read,,,,1,0
10016013,Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,"=""""","=""""",5,hpmor.com & fanfiction.net,ebook,2184,2015,2015,2023/09/10,2015/06/14,,,read,,,,1,0
25617483,"Digital Wars: Apple, Google, Microsoft and the Battle for the Internet",Charles Arthur,"Arthur, Charles",,"=""""","=""""",3,Kogan Page,Kindle Edition,346,2014,2012,2023/09/10,2015/06/14,,,read,,,,1,0
25337652,"Harry James Potter-Evans-Verres and the Professor's Games (Harry Potter and the Methods of Rationality, #2)",Eliezer Yudkowsky,"Yudkowsky, Eliezer",,"=""""","=""""",5,,ebook,279,2010,2010,2023/09/10,2021/06/03,,,read,,,,1,0
53730382,Lectures on the Philosophy of Mathematics,Joel David Hamkins,"Hamkins, Joel David",,"=""0262542234""","=""9780262542234""",0,The MIT Press,Paperback,352,2021,,,2023/09/10,currently-reading,currently-reading (#1),currently-reading,,,,1,0
15798364,The Spark: A Mother's Story of Nurturing Genius,Kristine Barnett,"Barnett, Kristine",,"=""0812993373""","=""9780812993370""",0,Random House,Paperback,250,2013,2013,,2022/05/30,to-read,to-read (#21),to-read,,,,0,0
9319468,Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground,Kevin Poulsen,"Poulsen, Kevin",,"=""0307588688""","=""9780307588685""",0,Crown,Hardcover,288,2011,2011,,2022/03/04,to-read,to-read (#20),to-read,,,,0,0
7029563,Zendegi,Greg Egan,"Egan, Greg",,"=""1597801747""","=""9781597801744""",0,Night Shade Books,Hardcover,288,2010,2010,,2021/06/15,to-read,to-read (#19),to-read,,,,0,0
25337627,"Harry James Potter-Evans-Verres and the Methods of Rationality (Harry Potter and the Methods of Rationality, #1)",Eliezer Yudkowsky,"Yudkowsky, Eliezer",,"=""""","=""""",4,,ebook,343,2015,2010,,2021/06/03,,,read,,,,1,0
6493321,Logicomix: An Epic Search for Truth,Apostolos Doxiadis,"Doxiadis, Apostolos","Alecos Papadatos, Χρίστος Χ. Παπαδημητρίου, Christos H. Papadimitriou, Annie Di Donna, Αλέκος Παπαδάτος","=""1596914521""","=""9781596914520""",5,Bloomsbury (NYC),Paperback,347,2009,2009,2021/01/30,2020/12/17,,,read,,,,1,0
24272922,Unnatural Selection: Why the Geeks Will Inherit the Earth,Mark  Roeder,"Roeder, Mark",,"=""1628724803""","=""9781628724806""",0,Arcade,Kindle Edition,230,2014,2013,,2021/01/13,to-read,to-read (#18),to-read,,,,0,0
18163262,The Case Against Marriage: What You're Really Getting. What You've Got To Lose.,Glenn Campbell,"Campbell, Glenn",,"=""""","=""""",0,,Kindle Edition,169,2013,2013,,2021/01/09,to-read,to-read (#17),to-read,,,,0,0
251633,The Invincible,Stanisław Lem,"Lem, Stanisław",Wendayne Ackerman,"=""0283979623""","=""9780283979620""",5,Sidgwick & Jackson (London),Paperback,223,1973,1964,,2020/12/29,,,read,,,,1,0
35051753,Developer Hegemony: The Future of Labor,Erik Dietrich,"Dietrich, Erik",,"=""""","=""""",0,DaedTech,Kindle Edition,478,2017,2017,,2020/12/27,to-read,to-read (#16),to-read,,,,0,0
